# word,type,meaning
システム,katakana,system
アプリ,katakana,app
テスト,katakana,test
データベース,katakana,database
エンジニア,katakana,engineer
ルーター,katakana,router
アカウント,katakana,account
コンパイル,katakana,compile
あいさつ,hiragana,greeting
おねがいします,hiragana,please
ありがとうございます,hiragana,thank you
すみません,hiragana,excuse me
おはよう,hiragana,good morning
こんばんは,hiragana,good evening
さようなら,hiragana,goodbye
ほん,hiragana,book
くるま,hiragana,car
いえ,hiragana,house
ともだち,hiragana,friend
べんきょう,hiragana,study
サーヴァント,katakana,servant
マスター,katakana,master
クラス,katakana,class
セイバー,katakana,saber
アーチャー,katakana,archer
ランサー,katakana,lancer
ライダー,katakana,rider
キャスター,katakana,caster
アサシン,katakana,assassin
バーサーカー,katakana,berserker
ルーラー,katakana,ruler
アヴェンジャー,katakana,avenger
フォーリナー,katakana,foreigner
アルターエゴ,katakana,alter ego
プリテンダー,katakana,pretender
ムーンキャンサー,katakana,moon cancer
シールダー,katakana,shielder
ガチャ,katakana,gacha
イベント,katakana,event
クエスト,katakana,quest
スキル,katakana,skill
バスター,katakana,buster
アーツ,katakana,arts
クイック,katakana,quick
カルデア,katakana,chaldea
レイシフト,katakana,rayshift
ほうぐ,hiragana,noble phantasm
とくいてん,hiragana,singularity
れいじゅ,hiragana,command spell
しょうかん,hiragana,summon
